number,question,optionA,optionB,optionC,optionD,optionE,optionF,answer,explanation
QUESTION NO: 136,"Universal Container's sales reps can modify fields on an opportunity until it is closed.
The sales operations team has access to modify the Post-Close Follow-up Date and Post-
Close Follow-up Comments fields after the opportunity is closed. After the opportunity is
closed, the rest of the fields are read only.
How should these requirements be met?",A. Use record types with field sets and restrict editing fields using field-level security.,B. Use field-level security on page layouts to restrict editing fields.,"C. Use field-level security on page layouts with record types to restrict editing fields,",,,,C,"To manage field editability based on the opportunity status:
C . Use field-level security on page layouts with record types to restrict editing fields. This
combination allows for different layouts and editable fields based on the status of the record
(e.g., closed or open).
Steps to implement:
Create or adjust record types for open and closed opportunities.
For each record type, create a specific page layout.
On the page layout for closed opportunities, set the majority of fields to read-only using field-
level security, except for the 'Post-Close Follow-up Date' and 'Post-Close Follow-up
Comments' fields.
Assign the appropriate page layouts to the respective record types.
Update profiles or permission sets to use these record types and page layouts accordingly.
This setup ensures that sales reps can modify fields only when the opportunity is open, and
the sales operations team can edit specific fields after closure.
For more information on using record types and page layouts, check Salesforce's
documentation on Record Types."
QUESTION NO: 137,"DreamMouse Realty has a mentorship program that pairs experienced Realtors with new
Realtors. Each experienced Realtor can mentor one or several new Realtors, and each new
Realtor is required to work with a single experienced Realtor they report to for a probationary
period.
What type of relationship would an app builder set up to meet this specification?",A. Indirect lookup,B. Many-to-many,C. Master-detail,,,,D,"Lookup is the type of relationship that would be set up to meet the specification of pairing
experienced Realtors with new Realtors. According to the Salesforce documentation, ""A
lookup relationship creates a loose association between objects. The lookup field allows
users to select a record from another object."" Indirect lookup is used for junction objects on
different platforms. Many-to-many is not a type of relationship, but a result of using junction
objects. Master-detail is used for creating parent-child relationships."
QUESTION NO: 138,"Cloud Kicks (CK) switched to Lightning Experience and started using Chatter across its
global workforce to support its fast-paced sales cycle. CK loves Chatter but struggle with
gathering feedback from core team members, including understanding who is available to
respond.
Which two ways could CK use Chatter to solve this problem?
Choose 2 answers",A. Streams,B. Polls,C. Out of Office,,,,"B,C","Polls and Out of Office are two ways that CK can use Chatter to gather feedback and
understand availability. Polls allow users to create surveys and collect opinions from other
users. Out of Office lets users set a status message and an end date to inform others when
they are away or busy. Streams and Topics are not related to the problem."
QUESTION NO: 139,"Universal Containers wants to match Opportunity data from Salesforce to the records in a
financial database.
What is required to configure an indirect lookup relationship in Salesforce between the
Salesforce Opportunity records and those in a financial database?",A. Salesforce Record ID,B. TEXT(Id),C. External ID,,,,C,"An indirect lookup relationship is a custom relationship between two objects that are linked by
an external ID field. The external ID field must be a custom field on the parent object that has
the ""External ID"" attribute enabled. The child object must be a standard or custom object that
is on the detail side of a master-detail or lookup relationship."
QUESTION NO: 140,"Cloud Kicks's management team frequently travels and wants to approve requests from their
team on the go via Chatter.
Where would an app builder enable this ability?",A. Chatter Feed Tracking,B. Object Settings,C. Chatter Settings,,,,C,"The app builder would enable this ability in Chatter Settings. Chatter Settings is a setup
menu that allows an app builder to configure various aspects of Chatter functionality, such as
feeds, groups, email notifications, and more. One of the options in Chatter Settings is Enable
Approvals via Chatter, which allows users to approve or reject requests from their team via
Chatter posts or comments. Option A, B, and D are not places where an app builder would
enable this ability."
QUESTION NO: 141,"Universal Containers uses the Asset object to track products that are installed at customer
locations. A new object, Asset Inventory, has been created to capture details about the asset.
Which approach should the app builder take to show Asset Inventory as a related list on
Asset?",A. Create a roll-up on Asset. Add the Asset Inventory related list to the Asset page layout.,B. Create a junction object to relate Asset Inventory and Asset. Add the Asset Inventory relatedlist to the Asset page layout.,C. Create a lookup relationship on Asset Inventory to Asset. Add the Asset Inventory related list to the Asset page layout.,,,,C,"The best way to show Asset Inventory as a related list on Asset is to create a lookup
relationship on Asset Inventory to Asset. This will allow one-to-many relationship between
Asset and Asset Inventory, and display the related records on the Asset page layout."
QUESTION NO: 142,"Cloud Kicks has created accustom object called Interests which is joined to Accounts by way
of a junction object called Account Interest.
What is the impact to users attempting to view an Account and the associated Account
Interest records if they are without read access to the Interest object?",A. Users will be able to view the Account Interest records and will have read-only access to the Interest records.,B. Users will be unable to view Account records that have a related Account Interest record.,C. Users will be unable to view the Account Interest records or the Interest records.,,,,C,"Users will be unable to view the Account Interest records or the Interest records because
they do not have read access to the Interest object. This is a standard behavior of Salesforce
when a user does not have access to a related object."
QUESTION NO: 143,"An app builder is tasked with adding key performance indicators on client pages. They want
to see a summary of the number of open Opportunities and the number of won Opportunities
for each Account.
Where should the app builder go to build these new rollups?",A. Lightning App Builder,B. Account Object,C. Lightning Object Creator,,,,B,"The app builder should go to the Account object to build these new rollups. A roll-up
summary field is a type of field that can aggregate numeric values from child records related
to a parent record by a master-detail relationship. The app builder can create two roll-up
summary fields on the Account object that count the number of open Opportunities and the
number of won Opportunities related to each Account. Lightning App Builder is not a place
where the app builder can build these new rollups. Lightning App Builder is a tool that allows
the app builder to customize the layout and components of Lightning pages, such as record
pages, home pages, or app pages. It cannot create new fields or relationships on objects.
Lightning Object Creator is not a place where the app builder can build these new rollups.
Lightning Object Creator is a tool that allows the app builder to create custom objects from
spreadsheet data by uploading a file and mapping columns to fields. It cannot create roll-up
summary fields or relationships on existing objects. Opportunity object is not a place where
the app builder can build these new rollups. The Opportunity object is the child object in the
relationship with the Account object, and roll-up summary fields can only be created on the
parent object."
QUESTION NO: 144,"Universal containers wants to ensure that they are accepting clean data from their users and
verify that important fields are entered. What should an app builder recommend to meet this
requirement?",A. Update the important fields to be required on the page layout,B. Make a formula field to check the format of the important fields,C. Create a workflow rule to check the fields are formatted correctly,,,,D,"Configuring a validation rule to require a field for a specific record type is the best way to
ensure that important fields are entered and formatted correctly. Updating the important fields
to be required on the page layout will not prevent users from entering invalid data using other
methods, such as data loader or quick actions. Making a formula field to check the format of
the important fields will not prevent users from entering invalid data, but only display a
message or an indicator. Creating a workflow rule to check the fields are formatted correctly
will not prevent users from entering invalid data, but only trigger an action after the data is
saved."
QUESTION NO: 145,"An app builder notices several Accounts converted from Leads are missing information they
expected to be caught via Account validation rules.
What could be the source of this issue?",A. The lead settings are unchecked to require validation for converted leads.,B. Account validation rules fail to validate on records converted from a lead.,C. The lead settings are allowing users to intentionally bypass validation rules.,,,,A,"The lead settings have an option to require validation for converted leads. If this option is
unchecked, then the Account validation rules will not be enforced when a lead is converted to
an Account. This could result in missing or incorrect information on the Account records"
QUESTION NO: 146,"The services manager wants to make sure the team enters case priority consistently.
What feature can an app builder use to accomplish this?",A. Path,B. Flow,C. Next Best Action,,,,A,"The best feature to use to ensure consistent case priority entry is Path. Path allows users to
see key fields and guidance for each stage of a process, such as a case lifecycle. Path can
also enforce data quality by making certain fields required at each stage. See [this article] for
more information on Path."
QUESTION NO: 147,"The brokers at DreamHouse Realty (DR) are having an Issue when using the Salesforce
mobile app on their (Phones. There are several key fields on the contact record they need
access to at a glance. Because of the small screen, they currently have to scroll down the
page to view the information.
What should the app builder at DR use to configure the Salesforce mobile app to show these
key fields at the top of the screen?",A. Compact layout,B. Record Detail component,C. Object specific action,,,,A,"The Compact Layout in Salesforce mobile app configuration determines the fields that
appear at the top of the record in the mobile app, providing quick access to key information.
References:
Salesforce Help - Compact Layouts"
QUESTION NO: 148,"DreamHouse Realty (DR) asks for some improvements in case management. They want to
enforce process compliance so that cases are unable to be reverted to an earlier case status,
and to ensure that certain fields are required when specific case criteria are met.
Which solution should an app builder implement to meet these requirements?",A. Configure validation rules with help text.,B. Create dependent picklist fields and set them as required.,C. Use an approval process to check field criteria are met.,,,,A,"To ensure process compliance where cases cannot revert to an earlier status and certain
fields are required based on specific case criteria, the recommended solution is:
Configure validation rules with help text (A). Validation rules enforce data integrity and
business processes by preventing users from saving records if certain conditions are not met.
For instance, a validation rule can prevent the status of a case from being changed back to
an earlier status and can conditionally require fields based on other field values on the case.
Dependent picklists (B) ensure field values depend on another field's value but do not
enforce the inability to revert status. Approval processes (C) are used for step-by-step record
approval and are not designed to prevent status reversion or conditionally require fields.
Making fields required on the page layout (D) ensures they are always required when
accessing the record through that layout but does not enforce conditional requirements
based on other criteria.
Reference for creating validation rules in Salesforce:
Validation Rules: https://help.salesforce.com/articleView?id=sf.validation_rules.htm&type=5"
QUESTION NO: 149,"At Ursa Solar Major, only users with the Outer Planets profile need to see the Jupiter field on
the Solar System object.
How should the app builder satisfy this requirement?",A. Classic encryption,B. Filtered view,C. Field-level security,,,,C,"To restrict visibility of the Jupiter field on the Solar System object specifically to users with the
Outer Planets profile:
C . Field-level security (FLS). This allows the app builder to control access to fields based on
user profiles.
Steps to set up field-level security:
Navigate to Setup → Object Manager → Solar System.
Select Fields & Relationships → Jupiter field.
Click Field-Level Security.
For all profiles except Outer Planets, set the Visible option to unchecked, ensuring these
users cannot see the field.
For the Outer Planets profile, check Visible to grant access.
This configuration ensures that only users with the Outer Planets profile can view the Jupiter
field.
For more information on field-level security, check Salesforce's guide on Field-Level Security."
QUESTION NO: 150,"Cloud Kicks is implementing an approval process for opportunities that requires managers to
approve all opportunities above $50,000 before they can be marked as Closed Won.
Which two delivery methods can a manager utilize to respond to approval requests in the
Salesforce mobile app?
Choose 2 answers",A. Home Screen,B. In-App Notification,C. Record Detail,,,,"B,C","For managers to respond to approval requests for opportunities above $50,000 in the
Salesforce mobile app:
B . In-App Notification: Managers receive notifications within the Salesforce mobile app when
there is an approval request, allowing them to approve or reject directly from the notification.
C . Record Detail: Managers can access the approval request directly from the Opportunity's
detail page in the mobile app, where they can review and respond to the request.
Steps to configure approval process notifications:
Navigate to Setup → Approval Processes → select the relevant approval process.
Ensure the process is active and configured to send notifications to approvers.
Managers need to have the Salesforce mobile app configured to receive notifications.
For best practices on managing approvals in Salesforce, see Approvals in Salesforce."
QUESTION NO: 151,"An app builder wants to create a report to compare the number of support cases in each
status (New, In-progress, or Closed) and by priority (Critical, High, Medium, or Low).
What solution should be used for the report?",A. Grouping,B. Bucket Columns,C. Custom Report Type,,,,A,"The best solution to create a report to compare the number of support cases in each status
and by priority is to use grouping. Grouping allows the app builder to summarize data by one
or more fields, such as status and priority, and display them in rows and columns. Grouping
also enables the app builder to use different chart types, such as stacked bar charts or matrix
charts, to visualize the data. Bucket columns are not a suitable solution, as they are used to
categorize data into predefined groups, such as high, medium, or low. Custom report types
are not a suitable solution, as they are used to define the objects and fields available for a
report, not how to display them. Filters are not a suitable solution, as they are used to limit
the data shown in a report based on certain criteria, not how to compare them"
QUESTION NO: 152,"The convert button on leads should NOT appear until the lead status picklist is set to a
qualified. What should an app builder suggest to meet these requirements?","A. Picklist dependency, page layouts, record types","B. Custom button, validation rule, record types","C. Process builder field update, quick action, record type",,,,B,"A custom button, a validation rule, and record types can be used to meet the requirement of
hiding the convert button on leads until the lead status picklist is set to qualified. The custom
button can replace the standard convert button and invoke a validation rule that checks the
lead status. The record types can be used to assign different page layouts with different
buttons for different lead statuses"
QUESTION NO: 153,"A new field is being created on a custom object. However, the app builder does not want the
field to show up on pre-existing custom report types.
What should the app builder do on the custom field setup to fulfill this requirement?",A. Remove the new field from all page layouts.,B. Remove visibility to all report profiles.,C. Grant read-only access to all report profiles.,,,,D,"When creating a new field, if an app builder does not want the field to be automatically added
to pre-existing custom report types, the step to take is:
Deselect 'Add Field to Custom Report Types' (D). This option is available when creating or
editing a custom field and ensures that the field is not automatically included in report types
where 'Automatically add new custom fields to report type layouts' is enabled.
Removing the field from page layouts (A) affects the visibility on record pages but not reports.
Adjusting visibility (B) or setting read-only access (C) for report profiles affects user
permissions to see the field in reports, but does not remove the field from report types if it
was previously added.
Reference for managing fields in custom report types:
Custom Report Types and Fields:
https://help.salesforce.com/articleView?id=reports_report_type_layouts.htm&type=5"
QUESTION NO: 154,"Cloud Kicks received a new requirement to calculate summaries from child objects of a
standard object. The team would prefer to solve this declaratively.
What are two considerations an app builder should evaluate?
Choose 2 answers",A. An app builder is unable to change a look up to a master-detail relationship.,B. An object can have up to two master-detail relationships.,C. A trigger on save or update can kick off calculations.,,,,"B,D","When Cloud Kicks needs to calculate summaries from child objects of a standard object
declaratively, a few key considerations about master-detail relationships come into play.
Master-detail relationships are critical in Salesforce when working with roll-up summary
fields, which allow you to calculate values from child records.
Option B: An object can have up to two master-detail relationships.
Salesforce allows an object to have two master-detail relationships. This is important
because if you want to aggregate child record data using roll-up summary fields, you need to
have a master-detail relationship in place. Each master-detail relationship links a child object
to a parent, and you can create roll-up summary fields on the parent object to summarize the
child record data.
Reference:
Option D: A value is required in all records of the lookup field prior to converting to a master-
detail relationship.
One important consideration when converting a lookup relationship into a master-detail
relationship is that the lookup field must contain values for all existing child records. This is
because master-detail relationships have tighter coupling between parent and child records,
and a child cannot exist without a parent in a master-detail scenario. Thus, the field cannot
be null during the conversion process.
Option A: An app builder can convert a lookup relationship to a master-detail relationship if
the above condition (that all lookup fields are populated) is met, so this option is incorrect.
Option C: Triggers are part of custom development using Apex, and the question specifies
the solution should be declarative. Therefore, triggers would not be a relevant declarative tool
for this scenario."
QUESTION NO: 155,"Accounts at Universal Containers are currently readable by all users but editable only by their
owners. Management wants to designate some Accounts as VIP Accounts. Only Account
owners should have read access to these VIP accounts.
Which two actions should an app builder take to meet the requirements?
Choose 2 answers",A. Implement a sharing rule.,B. Configure a permission set.,C. Set up an Account Team.,,,,"A,D","The two actions that an app builder should take to meet the requirements are: Implement a
sharing rule. A sharing rule is a way to grant additional access to records based on certain
criteria, such as record owner, role, profile, or field value. The app builder can create a
sharing rule that grants read access to all accounts with the VIP Account field value to all
users. This way, all users can view these accounts, but only the owners can edit them.
Change organization-wide defaults. Organization-wide defaults are the baseline level of
access that users have to records they do not own. The app builder can change the
organization-wide default for accounts from Public Read Only to Private. This way, only the
owners can view and edit their own accounts, unless additional access is granted by other
means, such as sharing rules. Configuring a permission set is not a valid action, as it does
not affect record-level access. A permission set is a way to grant additional permissions and
access settings to users on top of their profile settings, such as object permissions, field
permissions, app permissions, etc. Setting up an Account Team is not a valid action, as it
does not restrict record-level access. An Account Team is a way to share an account and its
related records with a group of users who work together on the account, such as sales reps,
managers, or support agents. An Account Team grants additional access to team members
based on predefined roles and access levels."
QUESTION NO: 156,"Ursa Major Solar wants to provide sales console users with an Incredible experience, with
the most-used components easily accessible at all times.
What solution can enable reps to see and access these components from anywhere within
the app without leaving the pages where the team is working?",A. Favorites,B. Home page,C. Global actions,,,,D,"The best solution to enable reps to see and access the most-used components from
anywhere within the app without leaving the page they are working on is Utility bar. This is a
footer that can be added to any Lightning app and can contain tools such as history, notes, or
softphone. Favorites, home page, and global actions are not solutions that provide access to
components from anywhere within the app. See [this article] for more information on Utility
bar."
QUESTION NO: 157,"Cloud Kicks works on an annual subscription model. When a sales rep marks an opportunity
as closed won, a new opportunity should automatically be created for the renewal. The
contracts team works outside of Salesforce but also needs to be notified about closed deals
in order to initiate the contract process with the customer.
Which automation solution would meet these requirements?",A. Approval Process,B. Validation Rule,C. Process Builder,,,,C,"The automation solution that would meet these requirements is Process Builder. Process
Builder is a tool that can create and update records, send email alerts, submit records for
approval, invoke flows, call Apex classes, and post to Chatter based on certain criteria and
actions. The app builder can use Process Builder to create a process that starts when an
opportunity is marked as closed won, creates a new opportunity record for the renewal with
pre-populated fields, and sends an email alert to the contracts team. Option A is incorrect
because an approval process is not suitable for this requirement, as approval processes are
used to define the steps and criteria for approving records. Option B is incorrect because a
validation rule is not suitable for this requirement, as validation rules are used to enforce data
quality and prevent users from saving invalid records. Option D is incorrect because a
workflow rule is not suitable for this requirement, as workflow rules are considered legacy
tools and have limitations compared to Process Builder."
QUESTION NO: 158,"Universal Containers wants users to have access to the pricing guidelines document when
viewing a Contract related to an Account.
What feature should an app builder use to create easy access to the document?",A. Quick Action on the Contracts object,B. Quick Action on the Account object,C. A custom detail page link on the Account object,,,,D,"The feature that the app builder should use to create easy access to the document is a
custom detail page link on the Contract object. A custom detail page link is a type of custom
button or link that can display a URL or execute JavaScript when clicked. The app builder
can create a custom detail page link on the Contract object that displays the pricing
guidelines document in a new window or tab. Option A is incorrect because a quick action on
the Contracts object is not suitable for this requirement, as quick actions are used to create
or update records, log calls, send emails, or launch flows. Option B is incorrect because a
quick action on the Account object is not suitable for this requirement, as quick actions are
not related to the Contract object. Option C is incorrect because a custom detail page link on
the Account object is not suitable for this requirement, as custom detail page links are not
related to the Contract object."
QUESTION NO: 159,"Cloud Kicks (CK) wants to quickly insert a list of over 60,000 net new Accounts. The template
based on CK's data model was used to populate the list.
Which tool should be used?",A. Data Loader,B. A Lightning Object Creator,C. Import Wizard,,,,A,"The app builder should use Data Loader to quickly insert a list of over 60,000 net new
Accounts. Data Loader is a tool that allows users to insert, update, delete, or export large
amounts of data from Salesforce using CSV files or database connections. Data Loader can
handle up to 5 million records at a time and supports features such as bulk API, batch
operations, mapping files, etc. Data Loader is ideal for loading large data sets into Salesforce
quickly and efficiently. Lightning Object Creator is not a valid tool, as it cannot insert data into
existing objects. Lightning Object Creator is a tool that allows users to create custom objects
from spreadsheet data by uploading a file and mapping columns to fields. It cannot load data
into existing objects or handle more than 500 records at a time. Import Wizard is not a valid
tool, as it cannot handle more than 50,000 records at a time. Import Wizard is a tool that
allows users to insert, update, or delete data from Salesforce using CSV files or Excel files.
Import Wizard supports standard objects and some custom objects and provides features
such as field mapping, duplicate detection, data validation, etc. Import Wizard is ideal for
loading small data sets into Salesforce with more control and accuracy."
QUESTION NO: 160,"UVC's CFO has asked that all deals with more than a 40%discount get automatically sent to
the VP of Finance. He will review these deals without the sales rep needing to take action.
Which two ways can this be accomplished without building code? Choose two answers",A. Launch a new approval process that has automatic submission enabled as an initial submission action,B. Create a new process with a submit for approval action to automatically submit deals for approval,C. Create a new approval process that has automatic submission enabled in the entry criteria,,,,"A,C","Launch a new approval process that has automatic submission enabled as an initial
submission action, and Create a new approval process that has automatic submission
enabled in the entry criteria. These are correct because both options allow the deals to be
automatically submitted for approval without requiring any action from the sales rep. The
automatic submission can be configured either as an initial submission action or as part of
the entry criteria"
QUESTION NO: 161,"Universal Containers wants to improve the process to create Opportunity records related to
an Account. Many fields can be populated based on the Account record. Some fields require
input from the user.
What should an app builder configure to meet the requirement?",A. Process Builder triggered from Opportunity update,B. Quick Action on the Account object,C. Quick Action on the Opportunity object,,,,B,"A quick action on the Account object can be used to create Opportunity records related to an
Account. The quick action can pre-populate some fields based on the Account record, and
also allow the user to input some fields. This would improve the process of creating
Opportunity records"
QUESTION NO: 162,"An app builder needs to deploy a new account detail page layout from sandbox to production
.
Which three components should an app builder include in the Change Set to ensure it
deploys successfully and visually as expected?
Choose 3 answers",A. Detail page layout,B. Custom fields,C. Custom actions,D. Lightning App Builder,,,"A,B,C","To deploy a new account detail page layout from sandbox to production, an app builder
should include three components in the change set:
Detail page layout: The page layout defines the arrangement of fields, buttons, related lists,
and other components on a record detail or edit page. It also controls which fields are
required or read-only for users. Source Custom fields: Custom fields are fields that are
created by users to store additional information on standard or custom objects. Custom fields
can have different data types, such as text, number, date, picklist, etc. Source Custom
actions: Custom actions are actions that are created by users to extend the functionality of
standard or custom objects. Custom actions can be global or object-specific, and they can
invoke different tools such as Lightning components, Visualforce pages, flows, etc. [Source]"
QUESTION NO: 163,"When a deal is closed- won, it has to be approved by the owner's manager prior to being
added to the leaderboard for a quarterly sales competition. An opportunity is won on the last
day of the quarter and the manager is on vacation.
What is recommended to ensure all of the appropriate deals are reviewed and the
leaderboard is up to date?",A. Forward the approval request to the manager's assistant.,B. Set up a delegated approver for the manager,C. Have the manager log on and reassign the approval request,,,,B,"Set up a delegated approver for the manager is the recommended solution to ensure all of
the appropriate deals are reviewed and the leaderboard is up to date. According to the
Salesforce documentation, ""A delegated approver can approve records that are submitted for
approval by users below them in the role hierarchy."" Forwarding the approval request to the
manager's assistant, having the manager log on and reassign the approval request, and
using Process Builder to assign a delegated approver are not valid or feasible options."
QUESTION NO: 164,"Universal Containers (UC) has several large customers that sell their products through
dealers. UC identifies and works with a single individual at each customer and at each
dealer. Separate bills are sent to each customer and each dealer. These details need to be
stored in a format that clearly displays the business entities and their appropriate
representatives.
How should an app builder Implement these regalements?","A. Create a single parent record, add each rep as a contact to the parent account and add each dealer as a child record.","B. Create both customer and dealer as accounts, create account teams on each account and associate the dealer records with the parent account.","C. Create a single account record, add each rep as a contact and create a custom dealer object.",,,,D,"Creating both customer and dealer as accounts, adding each rep as a contact on the
corresponding account, and creating an account hierarchy provides a clear organizational
structure and relationship between the entities.
References:
Salesforce Help - Account Hierarchies"
QUESTION NO: 165,"A business user at Universal Containers wants to update an Account directly from an
Opportunity record.
What should the app builder create to allow the business user to make these edits?",A. An update record action with a related record component.,B. An update record action with a details component,C. Formula fields displaying the Account fields.,,,,A,"An update record action with a related record component on the Opportunity layout allows
users to edit related Account records directly.
References:
Salesforce Help - Creating Quick Actions"
QUESTION NO: 166,"Universal Containers (UC) has large data volumes and is nearing data storage limits. The
planned solution is to archive historical data to reduce data storage in Salesforce; however,
UC would still like to use reports, queries, and lookups on the archived information.
Which two options could meet this requirement?
Choose 2 answers",A. Big objects,B. Custom objects,C. Related objects,,,,"A,D","Big objects and external objects can be used to archive historical data and reduce data
storage in Salesforce, while still allowing users to access the archived data using reports,
queries, and lookups. Big objects store data within Salesforce, while external objects store
data outside Salesforce and integrate it with Salesforce using an external data source"
QUESTION NO: 167,"The marketing director is concerned that too many car parts were given away for free last
year.
Which functionality should be used to ensure all free parts receive the marketing directors'
sign-off?",A. Stack post,B. Chatter approval,C. Automated email message,,,,D,"An Approval Process is the appropriate functionality to ensure all free parts receive the
marketing director's sign-off. It allows for setting up a process for record approval.
References:
Salesforce Help - Approval Processes"
QUESTION NO: 168,"Ursa Major Solar wants to automate a welcome email to new clients and include a
customized survey about their buying experience. An app builder is tasked with this project
and has very little time to build the solution from scratch, but still needs to be able to fully
customize the solution.
What should the app builder do to meet the deadline and custom requirements?","A. Work with a developer to create custom Apex code and a Lightning web component survey to meet the criteria,",B. Use Salesforce flow to build the survey declaratively to meet the criteria and send it to the customer as an email.,"C. Choose a managed package from AppExchange that closely meets the requirements of the project, restricts programmatic development, but allows declarative development",,,,B,"Given the need to automate a welcome email including a customized survey with
customization requirements and a tight timeline, the best approach is:
Use Salesforce Flow to build the survey declaratively to meet the criteria and send it to the
customer as an email (B). Flow is a powerful tool for automation in Salesforce, allowing the
creation of complex workflows and user interactions without needing to write custom code. It
can be used to build a survey and integrate it with email services for automated dispatch.
Working with a developer to create custom Apex and LWC (A) might meet the criteria but
would not align with the limited time frame. Managed (C) and unmanaged packages (D) from
AppExchange can provide pre-built solutions, but they may not offer the needed
customization or could require more setup time than building directly in Flow.
Reference for automating processes with Salesforce Flow:
Salesforce Flow:
https://help.salesforce.com/articleView?id=sf.flow_considerations_design.htm&type=5"
QUESTION NO: 169,"An app builder wants to create a custom Sync button on Account that will call a Lightning
Web Component that connects with an external system. This action should only be available
If the custom Status field is set to Ready to Sync.
What should an app builder use to add this functionality to an Account record page?",A. Formula field,B. Dynamic action,C. AppExchange product,,,,B,"Dynamic actions are a new feature that allow app builders to create custom buttons or
actions that can call Lightning Web Components and display them conditionally based on
field values or other criteria. Formula fields, AppExchange products, and custom links are not
able to call Lightning Web Components."
QUESTION NO: 170,"At Ursa Major Solar, there is a single Lightning record page for the Celestial Bodies custom
object; however, there is a Lightning component the app builder wants to restrict to mobile
app users.
Which feature on the Lightning app builder should be utilized?",A. Chatter feed,B. Highlights panel,C. Component visibility filter,,,,C,"Component visibility filter is the feature on the Lightning app builder that should be utilized to
restrict a Lightning component to mobile app users. According to the Salesforce
documentation, ""Use component visibility filters to show or hide components on a record
page based on field values or user profile."" Chatter feed, highlights panel, and related list
quick links are not features for controlling component visibility, but standard components that
can be added to a record page."
QUESTION NO: 171,"Universal Containers uses a custom object called Projects. When managers assign projects
they set a custom field on the project called Estimated Hours. Once set, users should be able
to decrease but not increase the value How can an app builder meet this requirement?",A. Create a formula default value for the custom field.,B. Create a formula held that uses the PREVGROUPVAL function,C. Create a validation rule that uses the ISCHANGED function,,,,D,"Create a validation rule that uses the PRIORVALUE function is how an app builder can meet
the requirement of preventing users from increasing the value of Estimated Hours after it is
set. According to the Salesforce documentation, ""PRIORVALUE returns the previous value of
a field."" The validation rule can compare the current value and the prior value of Estimated
Hours and display an error message if the current value is greater than the prior value.
Creating a formula default value for the custom field, creating a formula field that uses the
PREVGROUPVAL function, and creating a validation rule that uses the ISCHANGED
function are not valid or correct solutions for this requirement."
QUESTION NO: 172,What are two reason to create an unmanaged package? Choose 2 answers,A. Distributing open-source projects on the AppExchange.,B. Publishing an application for sale on the AppExchange,C. Deploying from a Developer Edition environment,,,,"A,C","The two reasons to create an unmanaged package are to distribute open-source projects on
the AppExchange and to deploy from a Developer Edition environment. An unmanaged
package is a collection of components that can be installed in any Salesforce org but cannot
be upgraded or controlled by the developer. An unmanaged package can be used to share
open-source projects or to deploy components from a Developer Edition environment to
another org."
QUESTION NO: 173,"An app builder is preparing to deploy a new app from the sandbox to production using
change sets.
What two considerations should an app builder keep in mind during this process?
Choose 2 answers",A. Salesforce Connect automatically establishes a link between environments.,B. Change sets do not include all components and may have to perform some changes manually.,C. Users should be logged out of production when receiving inbound change sets.,,,,"B,C","The two considerations that an app builder should keep in mind during the deployment
process using change sets are: Change sets do not include all components and may have to
perform some changes manually. Change sets are a way to deploy metadata changes from
one Salesforce org to another, but they do not support all types of components, such as
reports, dashboards, email templates, etc. The app builder may have to use other methods,
such as unmanaged packages or manual configuration, to deploy these components. Users
should be logged out of production when receiving inbound change sets. This is a best
practice to avoid any errors or conflicts that may occur when deploying changes to
production. Users may be working on records or components that are being updated by the
change set, which may cause data loss or inconsistency. Salesforce Connect does not
automatically establish a link between environments. Salesforce Connect is a feature that
allows users to access data from external sources without storing it in Salesforce. It does not
have anything to do with deploying changes between Salesforce orgs. Transactions will not
revert if the deployment errors. Transactions are units of work that are either completed
entirely or not at all. If a deployment error occurs during a transaction, the transaction will be
rolled back and no changes will be made to the target org. However, this does not mean that
the source org will revert to its previous state before the deployment."
QUESTION NO: 174,"Universal Containers has Public Read/Write as the Account organization-wide default (OWD)
setting. Visitors to the customer community site report that they can see all of the company's
account records.
How should an app builder configure Account sharing so that community users only see their
own Account?",A. Create an account record type for external accounts.,B. Define an owner-based sharing rule for external accounts.,C. Define a permission set for external accounts.,,,,D,"The best way to configure Account sharing so that community users only see their own
Account is to set the account external OWD to private. This will restrict the access to Account
records for external users based on the sharing rules and criteria. Creating an account record
type, defining an owner-based sharing rule, or defining a permission set will not prevent
community users from seeing other accounts."
QUESTION NO: 175,"Manage at Universal Containers want a quick to create additional accounts to form a
hierarchy from a parent account record. They want to auto-populate five fields based on the
parent to make it easier for users to create the child accounts quickly.",A. Custom Global Quick Action,B. Custom Global Quick Account.,C. Custom action on Account,,,,C,"A custom action on Account can be used to create additional accounts from a parent account
record. A custom action can have predefined values for certain fields based on the parent
record. A custom global action can be used to create records that do not have any
relationship with other objects. A custom link on Account can be used to execute JavaScript
or link to an external URL."
QUESTION NO: 176,"Universal Containers wants to create a report to show job applications with or without
resumes.
What considerations should the app builder be aware of when creating the custom report
type?",A. An app builder is unable to create custom report types for objects they do not have permissions for.,B. Once the report type has been deployed it is unable to be deleted.,C. A primary object selection is locked once the custom report type has been saved.,,,,C,"The primary object selection is locked once the custom report type has been saved. This
means that the app builder cannot change the primary object later. The other options are not
true."
